Line,bus0,bus1,x,r,s_nom,s_nom_extendable,length,carrier,capital_cost
323,9,97,0.001,0.001,855.6330989,TRUE,38.29303698,AC,100
324,90,99,0.001,0.001,1350.99963,TRUE,101.784876,AC,100
325,92,99,0.001,0.001,247.6832655,TRUE,106.4840117,AC,100
33,107,32,0.001,0.001,495.366531,TRUE,31.02421595,AC,100
34,107,71,0.001,0.001,1284.125172,TRUE,95.5067835,AC,100
35,107,96,0.001,0.001,2206.632729,TRUE,58.4077932,AC,100
36,108,128,0.001,0.001,1283.449648,TRUE,51.56755702,AC,100
37,108,164,0.001,0.001,1283.449648,TRUE,45.79516563,AC,100
38,109,177,0.001,0.001,2701.99926,TRUE,62.46934223,AC,100
39,109,47,0.001,0.001,1711.266198,TRUE,31.14482942,AC,100
4,1,136,0.001,0.001,1711.266198,TRUE,22.07383534,AC,100
40,109,72,0.001,0.001,2701.99926,TRUE,67.59319962,AC,100
41,11,75,0.001,0.001,2949.682526,TRUE,19.9067799,AC,100
42,11,98,0.001,0.001,1958.949464,TRUE,10.92764179,AC,100
43,110,125,0.001,0.001,1711.266198,TRUE,67.61076932,AC,100
44,110,19,0.001,0.001,1711.266198,TRUE,39.5215007,AC,100
45,111,165,0.001,0.001,2701.99926,TRUE,35.65787038,AC,100
46,111,4,0.001,0.001,990.733062,TRUE,78.9174558,AC,100
47,111,85,0.001,0.001,3422.532396,TRUE,48.22586486,AC,100
48,112,33,0.001,0.001,855.6330989,TRUE,36.74347406,AC,100
49,113,165,0.001,0.001,5133.798594,TRUE,52.358544,AC,100
5,1,141,0.001,0.001,1733.782859,TRUE,30.96789141,AC,100
50,113,20,0.001,0.001,495.366531,TRUE,68.89528822,AC,100
51,113,87,0.001,0.001,495.366531,TRUE,52.81507051,AC,100
52,113,95,0.001,0.001,3422.532396,TRUE,62.55899084,AC,100
53,114,122,0.001,0.001,2206.632729,TRUE,51.09271556,AC,100
54,114,16,0.001,0.001,247.6832655,TRUE,50.98929213,AC,100
55,114,173,0.001,0.001,990.733062,TRUE,43.43995022,AC,100
56,114,179,0.001,0.001,2701.99926,TRUE,24.21643982,AC,100
57,115,86,0.001,0.001,990.733062,TRUE,34.65975628,AC,100
58,116,19,0.001,0.001,1958.949464,TRUE,54.99454604,AC,100
59,116,59,0.001,0.001,247.6832655,TRUE,36.79875805,AC,100
6,1,152,0.001,0.001,3917.898927,TRUE,33.34550065,AC,100
60,116,75,0.001,0.001,2206.632729,TRUE,38.6858075,AC,100
61,117,119,0.001,0.001,1711.266198,TRUE,45.12945622,AC,100
62,117,83,0.001,0.001,1283.449648,TRUE,113.7442967,AC,100
63,118,180,0.001,0.001,495.366531,TRUE,52.76069582,AC,100
64,119,126,0.001,0.001,1711.266198,TRUE,32.83850473,AC,100
65,119,128,0.001,0.001,3422.532396,TRUE,70.24636456,AC,100
66,119,27,0.001,0.001,1283.449648,TRUE,92.63469308,AC,100
67,119,94,0.001,0.001,1283.449648,TRUE,99.05130061,AC,100
68,12,124,0.001,0.001,247.6832655,TRUE,100.4671087,AC,100
69,12,162,0.001,0.001,855.6330989,TRUE,37.18085901,AC,100
7,1,199,0.001,0.001,3422.532396,TRUE,46.47935943,AC,100
70,12,189,0.001,0.001,495.366531,TRUE,32.04231498,AC,100
71,12,37,0.001,0.001,495.366531,TRUE,55.74825375,AC,100
72,12,95,0.001,0.001,855.6330989,TRUE,102.3269752,AC,100
73,120,170,0.001,0.001,855.6330989,TRUE,15.98940657,AC,100
74,120,187,0.001,0.001,495.366531,TRUE,42.79764631,AC,100
75,120,80,0.001,0.001,1350.99963,TRUE,31.32923474,AC,100
76,121,128,0.001,0.001,1711.266198,TRUE,51.72702163,AC,100
77,121,45,0.001,0.001,2566.899296,TRUE,41.81500342,AC,100
78,122,150,0.001,0.001,1711.266198,TRUE,106.2130742,AC,100
79,122,16,0.001,0.001,3422.532396,TRUE,24.54750023,AC,100
8,10,96,0.001,0.001,495.366531,TRUE,26.50898799,AC,100
80,122,179,0.001,0.001,1711.266198,TRUE,74.85248567,AC,100
81,122,187,0.001,0.001,855.6330989,TRUE,98.19452403,AC,100
82,123,162,0.001,0.001,1283.449648,TRUE,117.5902394,AC,100
83,124,162,0.001,0.001,855.6330989,TRUE,65.19128568,AC,100
